distance_km,lead_time_days,supplier_count,transport_mode,weather_risk_score,port_congestion_index,predicted_delay_days
1261.7,19.4,15,Sea,84.6,2.9,8.92
4373.5,31.1,35,Road,3.2,6.3,9.54
808.6,51.9,29,Road,16.4,5.3,5.35
2302.9,14.4,36,Sea,92.1,2.7,12.03
1082.2,43.6,4,Rail,96.7,8.1,5.75
4195.9,37.1,15,Road,5.5,5.5,8.44
4416.9,43.2,11,Rail,33.2,1.9,7.56
3667.1,9.9,15,Rail,1.0,3.1,5.09
1420.0,10.0,21,Sea,75.7,2.3,8.55
1818.7,86.8,35,Sea,68.2,3.1,13.55
1094.2,88.2,23,Rail,56.5,1.9,7.59
4009.0,38.6,10,Rail,69.2,3.7,7.67
4115.9,71.1,4,Road,53.8,6.9,10.42
1887.8,59.2,25,Road,23.9,9.6,6.98
2956.1,11.0,2,Road,75.4,2.1,6.79
749.2,27.1,38,Rail,78.3,3.0,5.71
1960.0,28.6,19,Rail,85.4,0.0,6.23
2843.6,53.8,24,Road,95.4,2.3,9.92
1737.4,52.4,8,Road,74.8,4.2,7.05
1612.4,83.2,6,Rail,5.5,4.6,5.5
9.5,71.2,20,Road,2.1,2.7,4.18
3620.3,77.2,14,Sea,74.0,1.5,15.67
4002.6,80.3,6,Road,5.6,5.6,9.71
4362.7,72.2,12,Rail,31.6,4.1,8.6
3238.1,30.3,7,Multimodal,13.6,4.3,9.78
2471.8,19.7,30,Road,96.9,8.9,8.25
1215.4,51.7,16,Rail,31.6,5.6,4.97
4496.9,62.2,8,Road,5.5,3.9,9.65
2655.9,35.1,14,Rail,95.0,2.5,6.93
3066.8,76.4,20,Rail,60.9,4.3,8.58
3072.4,86.5,28,Road,3.6,8.6,9.47
3804.4,51.5,6,Rail,83.3,9.7,8.19
48.5,41.4,30,Air,15.3,3.8,3.49
995.0,75.9,4,Road,80.2,2.1,6.62
2996.6,2.7,36,Road,60.3,9.1,7.78
4028.7,12.0,3,Air,17.7,1.4,2.54
3085.6,76.2,10,Rail,75.3,3.0,8.55
1863.6,66.0,38,Air,45.5,2.0,6.37
1630.2,37.7,27,Rail,63.8,5.7,5.91
3322.1,80.1,18,Sea,87.0,4.1,16.56
3336.9,32.0,11,Road,26.0,2.9,7.24
2733.7,57.2,36,Sea,36.6,7.7,14.74
1315.1,57.3,35,Air,99.7,6.6,7.02
4163.6,17.0,13,Rail,50.8,10.0,6.72
2485.7,26.0,23,Road,55.9,3.1,7.09
3558.3,82.5,9,Road,28.5,8.5,9.57
968.3,16.9,4,Road,41.6,3.0,3.24
1551.5,16.0,31,Road,50.2,0.1,5.77
3936.2,43.4,3,Road,25.8,1.5,8.22
230.2,8.8,36,Rail,23.8,5.1,3.48
2307.9,80.6,17,Rail,60.0,8.1,8.23
2170.3,9.5,16,Road,18.4,0.6,4.73
3381.8,55.7,39,Rail,55.3,8.3,9.03
1272.1,30.9,2,Road,70.6,7.2,4.74
989.7,72.5,5,Road,19.8,0.3,5.34
4168.0,53.3,33,Road,74.6,1.1,11.38
2574.8,35.3,13,Rail,36.0,0.8,5.47
475.6,88.6,12,Road,99.3,6.8,7.67
872.7,6.4,19,Road,97.9,5.6,5.21
4494.7,52.2,22,Road,79.9,3.6,11.43
884.3,89.1,8,Sea,34.3,0.9,9.17
2749.1,62.3,4,Road,93.7,3.9,8.9
1893.5,66.7,7,Rail,99.9,6.8,7.21
3985.8,3.4,22,Rail,46.2,0.9,6.44
3399.5,2.4,18,Sea,61.5,8.6,14.11
2688.3,3.7,6,Multimodal,0.6,0.6,6.57
53.3,89.3,4,Road,4.4,6.1,3.99
3959.7,88.2,12,Road,50.1,1.9,10.9
2003.8,30.4,37,Air,60.9,0.9,5.25
4192.4,26.5,2,Rail,31.2,3.5,5.95
2232.4,13.6,3,Rail,9.9,6.7,3.57
3125.5,30.0,21,Rail,78.2,1.2,7.23
316.5,33.6,39,Rail,41.9,4.8,4.75
3354.5,67.5,13,Multimodal,64.9,4.1,12.63
1524.3,78.0,14,Multimodal,65.0,4.3,10.13
1584.4,67.3,30,Sea,54.7,9.4,13.32
538.4,58.4,18,Road,17.8,3.5,4.92
665.1,69.0,13,Air,61.6,9.9,5.07
840.0,66.6,14,Road,32.2,5.4,5.52
1480.3,43.1,25,Road,81.9,8.4,7.42
4014.4,30.6,37,Air,19.3,3.5,4.68
1660.3,25.8,27,Road,29.1,0.8,5.6
3261.0,61.3,23,Road,44.0,0.8,9.51
377.0,86.4,7,Road,74.0,5.7,6.13
2662.0,52.5,10,Air,72.1,9.3,5.15
2171.1,82.2,25,Rail,33.7,0.7,7.73
4400.9,1.8,35,Rail,51.1,6.9,7.58
3808.7,71.6,24,Road,23.4,5.6,10.15
2049.5,76.9,11,Sea,77.0,6.5,13.36
3489.3,57.0,20,Sea,19.7,2.2,14.21
872.7,84.1,10,Road,81.9,0.7,7.32
2532.7,53.3,21,Road,93.7,0.7,9.25
340.4,22.0,28,Road,99.2,2.5,5.36
1569.7,19.8,28,Multimodal,85.7,2.1,8.34
1020.3,50.2,27,Rail,22.2,1.3,5.12
3236.5,81.6,33,Multimodal,41.7,2.6,13.18
2208.0,7.0,4,Road,8.9,5.3,3.98
3381.1,54.6,35,Sea,16.5,9.5,16.29
2321.3,69.4,20,Sea,5.0,9.2,13.29
393.7,10.8,6,Rail,64.1,2.7,3.14
3310.5,11.0,6,Multimodal,53.3,0.7,9.16
3750.4,33.3,17,Road,91.7,10.0,9.99
4066.4,25.0,19,Road,46.3,4.8,9.08
2576.1,18.2,17,Rail,64.2,9.8,5.84
3392.4,18.3,3,Sea,40.2,5.4,12.38
3385.4,12.2,34,Rail,82.9,8.9,7.85
705.1,55.2,4,Road,92.6,4.5,5.89
743.2,62.1,23,Rail,43.2,6.2,5.82
323.6,63.4,18,Road,8.3,5.4,4.4
1443.0,48.1,34,Road,16.4,2.2,6.04
2133.4,85.8,29,Rail,72.1,7.6,8.95
4490.6,79.3,15,Sea,32.5,0.5,16.57
1942.3,86.2,11,Road,78.5,3.6,8.5
3269.5,35.3,39,Road,75.0,8.7,9.82
3121.8,79.1,9,Road,69.4,5.0,9.85
924.1,68.8,35,Road,81.4,0.8,7.94
268.0,30.9,10,Sea,75.7,2.1,6.33
2459.3,10.0,38,Air,63.3,1.1,4.33
3152.9,61.6,29,Road,0.4,2.8,8.59
4492.1,12.7,6,Sea,51.6,1.7,14.32
1617.0,26.8,19,Air,59.5,7.1,3.8
4034.2,45.3,26,Sea,96.1,6.6,17.68
1721.8,61.3,9,Road,65.0,1.4,7.07
3103.9,83.4,13,Multimodal,57.5,4.4,12.83
2694.1,53.6,26,Road,54.1,3.0,8.41
243.1,60.6,20,Road,10.3,3.4,4.34
357.4,28.2,2,Road,42.8,5.8,2.71
98.3,62.0,4,Rail,13.4,9.0,3.61
1671.9,39.7,7,Road,5.3,9.0,4.66
3357.4,77.2,19,Road,32.9,4.1,9.73
781.5,35.6,35,Road,64.5,3.9,5.82
2728.3,42.4,11,Sea,86.7,5.2,13.4
1303.3,39.2,19,Air,81.0,4.7,4.66
3587.5,73.1,32,Road,29.5,0.6,10.92
3593.8,85.9,14,Air,4.6,5.8,5.29
3490.5,29.8,5,Air,40.3,5.8,3.63
2364.1,43.0,25,Sea,31.5,4.5,11.91
1284.1,63.7,14,Road,37.1,4.1,6.2
3643.5,80.6,39,Rail,55.9,9.4,10.19
841.5,44.7,12,Multimodal,3.0,6.0,6.45
1307.5,10.2,20,Rail,37.1,8.2,3.87
831.8,33.5,18,Road,55.9,9.5,4.97
3035.6,49.8,1,Rail,43.1,8.1,6.43
3089.6,37.9,4,Rail,66.7,9.4,6.29
2938.0,17.2,12,Rail,18.6,7.6,4.58
1873.1,3.8,26,Road,15.4,1.7,4.59
455.3,62.0,32,Road,30.8,2.3,5.71
4100.7,89.3,37,Sea,10.2,1.9,17.11
2287.3,82.8,15,Air,23.6,3.2,5.6
1834.3,61.7,35,Road,8.7,3.5,7.49
2651.8,75.8,26,Multimodal,40.2,8.1,12.95
871.6,23.4,15,Road,71.1,3.6,5.0
600.8,56.2,8,Rail,28.7,7.3,4.38
1827.8,5.9,28,Sea,0.4,9.0,9.82
1026.4,63.8,30,Sea,55.7,1.1,9.8
1103.1,87.3,3,Multimodal,69.2,0.0,8.12
4016.8,77.5,6,Road,39.1,8.9,10.08
2390.8,48.3,31,Air,29.7,2.4,4.86
2178.2,71.1,26,Road,49.1,1.5,8.64
3104.2,85.0,8,Sea,10.1,3.0,13.53
4282.2,19.8,39,Sea,64.4,1.9,16.0
509.3,71.5,29,Rail,73.3,7.9,6.85
3751.7,24.7,17,Road,70.5,6.3,8.91
2630.2,79.0,16,Air,32.9,1.7,5.71
662.0,9.3,4,Road,84.3,5.8,3.53
1340.7,16.5,10,Road,94.7,2.1,5.45
2173.2,65.0,16,Sea,29.7,2.0,11.1
3111.8,16.1,19,Rail,26.3,6.0,5.4
1095.5,14.6,39,Sea,70.4,6.6,9.96
2409.3,50.2,13,Road,70.8,3.5,8.13
3082.6,75.2,4,Road,51.0,7.6,8.97
2022.1,24.5,32,Sea,92.3,8.4,13.09
3884.3,75.8,18,Rail,14.6,9.2,7.99
3913.2,72.8,16,Road,47.7,6.3,10.34
2120.8,52.3,25,Sea,3.5,2.2,10.76
4378.3,58.4,16,Rail,5.3,7.5,7.74
344.8,4.1,22,Rail,5.4,1.1,1.98
20.1,33.4,24,Rail,49.2,1.8,3.92
1716.1,24.1,28,Sea,58.9,8.3,11.79
2706.9,13.9,23,Sea,0.3,9.1,12.15
2833.3,35.4,21,Sea,63.3,0.7,12.3
2146.6,32.3,9,Road,49.0,3.1,6.14
566.4,65.7,2,Sea,22.4,6.3,8.02
771.4,54.0,38,Rail,1.5,9.4,5.1
3835.4,82.2,28,Rail,15.6,5.7,9.11
3906.3,13.5,26,Road,60.0,8.2,8.9
3034.2,5.8,27,Air,65.9,9.2,4.15
2990.7,48.3,25,Sea,64.7,5.2,14.42
2691.6,0.6,21,Road,15.3,7.4,5.53
917.2,71.0,38,Road,91.1,6.6,8.26
1930.0,45.8,25,Air,41.1,6.7,4.67
3133.0,44.2,38,Road,76.8,5.2,10.16
2419.9,32.9,11,Multimodal,16.6,6.2,9.07
88.5,34.1,28,Rail,47.1,5.5,4.68
4291.2,39.1,36,Rail,52.2,6.4,8.79
3802.4,1.9,4,Road,77.0,5.1,7.62
1176.1,8.0,19,Road,62.2,2.2,4.79
2776.0,45.7,24,Multimodal,39.9,6.9,11.85
4155.0,13.9,22,Road,28.3,3.8,8.47
436.6,70.2,25,Sea,97.3,1.3,9.52
2266.1,25.1,8,Road,28.5,8.5,5.51
2055.8,9.3,20,Road,12.9,1.8,5.04
1848.9,21.6,1,Road,30.0,5.4,4.6
3761.0,32.5,4,Rail,32.7,7.2,6.27
1716.0,3.7,12,Multimodal,12.8,6.5,6.98
291.2,13.2,25,Road,70.8,1.6,4.11
300.9,29.5,21,Road,61.9,1.9,4.25
197.1,28.3,19,Road,31.7,1.5,3.41
1844.1,72.1,34,Rail,99.3,0.7,8.94
3234.2,76.0,6,Road,65.5,2.8,9.58
920.7,17.8,35,Air,70.3,5.2,4.33
2910.9,11.6,3,Rail,55.7,1.7,5.04
3093.5,57.3,33,Rail,55.2,9.7,8.53
1152.1,72.5,9,Road,2.0,7.0,5.2
2704.5,86.8,7,Multimodal,77.1,5.8,12.89
3083.5,1.1,27,Road,91.1,6.8,8.26
2102.4,37.5,1,Road,12.2,4.4,4.95
1518.5,66.2,18,Rail,79.6,4.7,7.37
2788.1,74.7,35,Rail,53.4,8.9,8.79
4400.4,6.1,17,Road,28.5,7.2,8.24
1923.7,61.4,39,Road,92.1,5.9,9.16
1765.8,26.4,11,Sea,1.7,9.5,10.0
2091.9,7.2,37,Road,27.4,6.6,5.94
347.6,44.3,11,Sea,88.6,4.0,7.77
2491.5,14.7,3,Rail,48.1,0.5,4.47
1482.5,66.5,13,Road,59.9,3.9,7.27
550.8,66.8,28,Rail,75.0,9.2,6.8
2100.8,75.9,38,Road,14.8,0.4,8.52
20.2,34.3,34,Sea,21.5,1.8,6.13
1811.0,1.7,28,Rail,99.9,8.1,5.95
480.3,23.7,2,Road,23.7,3.6,2.77
114.2,42.4,2,Rail,53.9,1.9,3.54
3711.0,62.6,37,Multimodal,29.9,8.2,14.82
4123.5,34.7,16,Road,85.1,5.6,10.21
938.5,48.5,8,Air,96.2,5.5,4.85
2429.1,47.4,11,Road,14.1,2.9,6.43
1254.4,15.3,15,Road,60.1,6.8,4.98
2223.6,56.3,4,Road,81.2,8.6,7.69
1967.7,39.8,23,Road,82.3,7.5,7.43
1214.4,72.8,8,Road,44.0,6.1,5.85
3153.3,62.3,16,Road,22.5,3.5,8.65
573.6,10.5,16,Air,38.7,8.5,2.28
243.6,44.2,24,Sea,75.1,5.7,8.55
3455.7,63.4,10,Sea,99.4,8.9,17.11
2998.4,8.3,34,Road,55.4,2.5,8.12
2245.9,71.4,18,Road,19.5,6.5,7.83
2107.7,20.4,16,Road,4.2,9.4,4.92
2240.9,45.5,36,Sea,94.4,3.7,13.67
1969.4,84.7,8,Air,48.3,9.5,5.45
1771.1,51.6,20,Road,71.7,3.9,7.54
2251.1,38.5,23,Road,66.0,4.4,7.47
2380.7,1.1,14,Rail,89.1,8.1,5.37
3115.1,12.4,16,Road,26.6,2.6,6.58
3201.9,52.3,38,Road,44.2,7.1,9.59
1702.4,44.7,18,Rail,91.4,3.0,6.64
1863.9,33.1,30,Sea,58.6,5.9,11.37
1684.8,83.1,36,Road,7.1,7.8,7.88
2416.7,30.3,36,Road,19.4,0.3,7.29
2042.8,48.6,39,Multimodal,23.7,0.9,9.61
4003.7,51.4,1,Road,99.4,9.3,10.42
3135.1,47.7,17,Road,22.4,8.2,7.88
4044.5,43.2,28,Road,87.0,8.8,11.0
3192.6,30.7,7,Road,7.8,4.4,6.51
4369.6,81.8,20,Road,18.2,7.2,11.06
2862.6,40.8,24,Sea,87.2,10.0,15.69
4336.2,47.8,1,Road,89.9,4.3,10.23
716.0,59.3,18,Road,17.6,8.5,5.18
240.9,6.6,26,Rail,23.0,0.8,2.81
2608.2,70.4,14,Rail,53.1,5.4,7.36
4425.8,46.4,19,Air,5.3,3.3,4.33
1882.1,59.3,18,Air,94.5,5.2,6.09
958.1,69.6,7,Road,36.2,1.1,5.72
2349.3,78.7,2,Sea,48.9,3.7,12.53
2921.3,35.6,7,Rail,10.5,0.8,5.09
1421.7,73.1,28,Multimodal,3.3,4.5,9.01
3217.9,23.7,28,Rail,46.8,4.4,7.03
4388.1,59.6,17,Multimodal,12.2,3.3,13.23
4036.8,9.7,30,Sea,63.0,9.5,16.36
1315.7,2.3,21,Road,79.4,0.8,4.94
1473.6,9.1,37,Rail,3.2,8.2,3.81
1675.1,29.1,9,Multimodal,61.2,3.5,7.62
1778.5,3.3,36,Air,81.6,2.0,4.28
455.9,56.9,22,Road,43.9,2.7,5.16
3430.0,28.8,15,Sea,96.0,9.0,15.71
1647.2,66.4,14,Road,11.1,8.2,6.32
3959.8,4.6,27,Road,32.3,0.2,8.22
4171.6,19.9,18,Road,23.0,1.5,8.17
114.8,37.0,10,Road,99.6,6.8,4.92
4448.3,34.7,22,Sea,29.4,3.2,15.73
3196.6,12.2,23,Road,38.8,9.2,7.27
2344.2,89.5,5,Sea,84.8,7.9,14.7
1755.9,26.0,25,Road,93.0,8.8,7.05
2335.7,65.0,1,Road,93.8,1.9,8.59
1464.2,20.2,24,Road,55.8,1.5,5.42
2804.0,79.1,33,Road,66.3,9.3,10.54
422.9,35.2,37,Road,34.9,4.0,4.84
2796.9,81.1,7,Road,60.7,4.2,8.88
1242.7,31.1,24,Rail,30.3,6.8,4.5
84.3,1.3,15,Road,74.6,4.0,2.95
2489.4,46.8,11,Road,30.7,8.8,6.62
2605.1,47.5,17,Road,87.9,9.6,8.45
1922.4,11.2,23,Air,14.3,3.3,2.71
329.9,21.5,4,Air,57.2,2.1,2.62
4020.6,70.6,31,Rail,52.1,0.8,9.65
2753.4,3.8,34,Road,26.4,2.1,6.41
525.1,44.3,10,Road,2.8,1.4,3.19
2301.6,48.0,37,Multimodal,14.9,0.3,9.11
2240.2,62.1,10,Road,96.8,0.5,8.53
276.5,3.9,11,Road,94.1,5.1,3.56
2732.8,52.9,31,Road,11.9,7.1,7.99
3638.4,0.8,10,Road,37.5,9.8,6.88
3371.8,24.2,38,Road,46.5,1.6,9.15
917.3,45.2,8,Sea,47.8,7.0,9.08
3881.0,82.1,11,Road,29.9,5.5,10.04
1544.7,11.8,20,Rail,91.3,4.8,5.38
4259.6,15.7,24,Road,90.8,7.2,10.29
327.5,60.4,7,Road,1.9,2.4,3.47
2190.5,34.1,21,Air,65.0,3.1,4.5
2689.1,56.3,6,Road,7.4,3.8,6.95
1118.2,89.8,31,Sea,59.7,1.8,11.16
3472.4,88.8,12,Rail,86.7,4.8,9.72
2822.9,32.2,37,Road,65.0,1.3,8.72
86.4,45.6,13,Multimodal,46.9,3.2,5.39
2739.6,81.5,31,Road,95.8,1.1,11.31
2214.2,8.7,9,Air,74.7,0.4,3.13
886.2,41.0,27,Road,24.9,3.6,5.1
4480.9,34.3,17,Air,38.7,6.2,4.67
4037.7,26.9,8,Road,76.0,1.5,8.91
1319.8,89.5,27,Rail,1.9,9.9,6.78
2437.1,66.2,15,Sea,6.4,2.7,11.52
1427.7,35.3,39,Multimodal,85.9,0.2,8.69
3490.9,74.7,6,Air,4.3,0.3,4.46
4186.8,44.3,32,Sea,67.9,6.7,17.75
1617.9,78.6,8,Air,31.9,6.7,4.87
3626.1,24.3,35,Road,82.6,9.0,9.8
2245.3,20.5,31,Road,84.7,0.9,7.65
1787.6,22.6,26,Road,95.3,3.8,6.9
4223.2,48.7,24,Road,9.6,8.9,9.46
2299.3,26.6,2,Road,42.3,8.0,5.41
2106.0,13.7,1,Rail,57.4,2.3,4.24
3027.6,89.5,10,Road,91.6,8.9,10.51
1179.2,81.1,23,Rail,26.7,6.8,6.85
1464.9,57.3,33,Road,7.2,2.6,6.51
4194.5,80.3,37,Road,20.2,0.4,11.43
3055.0,84.2,11,Rail,49.6,5.0,8.15
3720.7,61.0,20,Sea,68.1,7.1,17.01
1223.6,46.9,26,Sea,69.1,2.7,10.1
2449.3,79.4,2,Rail,7.5,1.7,5.91
4371.4,51.3,25,Road,76.1,0.8,11.28
1437.6,11.8,4,Rail,66.0,8.4,4.02
726.3,33.3,19,Road,40.8,0.5,4.55
2301.4,40.4,13,Road,57.1,6.1,7.13
1748.3,84.2,19,Road,76.8,7.6,8.71
722.3,59.5,13,Road,26.2,7.8,4.79
3999.0,78.8,12,Road,94.0,6.5,11.53
4458.3,68.3,2,Multimodal,13.8,6.5,13.93
2560.8,28.2,37,Multimodal,90.2,4.7,12.05
3487.2,64.8,23,Road,74.1,4.2,10.6
3866.4,18.0,19,Road,66.1,1.4,8.98
3155.9,37.0,3,Road,8.3,5.4,6.41
203.5,72.6,24,Road,91.9,0.7,6.71
713.6,55.3,23,Multimodal,29.5,4.7,7.46
324.1,74.4,4,Road,74.6,7.3,5.63
49.4,23.3,18,Sea,88.5,4.4,7.01
1380.5,67.6,12,Road,24.4,5.1,6.49
1768.6,18.6,35,Multimodal,91.5,8.4,10.92
1088.4,49.3,27,Road,61.2,6.5,6.69
295.4,39.3,14,Sea,65.9,1.3,6.73
2386.7,50.3,31,Road,91.5,5.4,8.9
1233.6,12.6,3,Rail,52.7,3.6,3.49
3583.2,32.8,5,Road,44.1,2.1,8.01
41.2,60.2,29,Road,63.3,6.5,5.82
3792.2,50.5,39,Multimodal,55.4,3.9,13.97
4296.6,49.6,17,Air,6.1,7.7,4.14
3224.0,46.2,19,Air,18.0,5.9,4.22
3302.7,85.0,35,Rail,1.4,1.0,8.43
4201.4,84.1,33,Sea,10.8,3.5,17.57
944.8,32.7,8,Road,73.0,2.7,5.01
4475.6,32.0,37,Road,0.5,1.5,9.63
3481.8,50.2,35,Road,30.4,8.0,9.71
3270.9,9.1,20,Rail,44.9,3.8,6.01
1628.1,27.6,17,Road,93.8,6.1,6.71
2458.3,21.2,13,Road,32.7,8.8,6.26
2944.4,20.5,4,Rail,78.3,5.4,5.76
2793.4,57.6,30,Sea,40.9,2.6,13.64
3173.9,34.9,6,Road,9.8,7.9,6.44
375.3,15.8,2,Road,9.9,4.4,2.06
1603.6,79.9,15,Road,43.2,5.6,7.55
1955.8,78.7,34,Road,5.8,9.0,7.96
1176.5,77.7,20,Road,57.2,4.9,7.14
781.0,35.5,16,Rail,49.4,3.3,4.43
629.5,5.6,29,Rail,70.3,7.3,4.25
1651.9,10.1,27,Rail,18.6,1.3,4.18
2223.0,25.2,1,Road,59.3,9.1,5.77
288.1,20.2,13,Sea,17.5,9.2,6.67
4259.3,78.7,32,Road,72.2,5.8,12.77
3444.8,88.8,3,Rail,30.7,1.5,7.72
3290.2,73.6,14,Sea,61.4,4.5,15.45
782.0,65.8,28,Road,88.3,4.2,7.4
2719.1,53.2,26,Road,48.8,3.0,8.61
2386.1,69.4,21,Air,19.2,1.8,5.16
4421.2,85.3,11,Road,88.6,2.6,12.3
3365.8,54.3,27,Rail,35.9,5.6,7.73
2593.0,14.3,1,Road,73.0,6.9,6.12
3829.4,15.2,33,Rail,32.0,9.8,6.83
702.1,52.8,18,Road,29.8,2.2,4.91
73.4,30.3,2,Road,64.2,2.0,3.24
3107.6,82.0,4,Rail,15.6,1.2,7.14
446.9,55.2,4,Road,86.7,9.4,5.25
523.9,61.0,17,Road,38.8,3.8,5.21
3352.3,1.0,16,Road,1.9,9.2,5.83
1221.1,45.1,9,Road,30.5,8.9,5.07
2830.7,39.1,26,Road,78.5,0.4,8.94
4128.7,63.7,10,Road,85.9,2.8,11.02
1427.6,34.7,7,Air,56.8,3.0,3.35
981.1,87.9,9,Road,29.4,2.8,6.48
484.0,60.5,27,Rail,52.8,4.3,5.97
591.4,59.6,32,Road,83.6,5.0,7.04
284.7,82.8,23,Road,31.6,7.6,6.11
399.0,89.6,27,Air,38.5,2.7,6.1
1946.9,18.2,25,Road,54.0,3.0,6.18
1447.3,73.0,29,Multimodal,88.7,6.0,11.35
3181.0,15.0,24,Road,58.2,1.8,7.75
3916.7,41.4,16,Sea,20.8,4.7,14.75
3532.6,9.5,16,Rail,8.9,2.5,5.2
2390.2,56.3,28,Air,9.5,2.0,4.82
465.5,42.4,20,Rail,95.0,8.0,5.5
3195.4,56.8,19,Rail,82.2,7.1,8.54
1635.9,61.2,10,Road,76.6,2.5,7.18
390.0,55.9,26,Road,49.6,4.2,5.39
3791.9,26.8,2,Air,67.3,1.5,3.94
1525.3,75.4,3,Road,12.7,0.5,6.0
986.0,49.9,39,Road,62.1,5.9,6.81
3922.2,44.3,2,Sea,81.1,3.6,15.23
4060.1,88.8,25,Road,6.2,2.1,10.68
1528.7,25.9,4,Multimodal,29.6,1.1,6.04
1599.8,47.8,15,Sea,11.0,6.8,9.96
2610.4,61.6,18,Rail,26.0,2.7,6.81
3301.8,11.7,7,Air,77.3,9.1,3.55
288.9,32.2,27,Road,33.2,1.9,3.99
2672.1,72.3,18,Road,69.0,2.4,9.05
4287.9,21.7,7,Rail,77.3,8.5,7.07
1183.1,44.6,29,Road,81.7,5.7,6.98
4090.2,56.9,33,Sea,87.3,1.1,16.98
4276.0,60.6,2,Air,59.8,5.5,5.17
1214.8,65.7,18,Road,28.1,3.1,6.03
3395.1,78.0,23,Road,15.1,7.4,9.61
1078.3,35.7,6,Multimodal,50.4,0.8,5.79
3320.6,63.7,25,Road,10.4,9.2,8.9
3589.4,66.0,19,Rail,91.1,4.8,9.29
1116.2,27.4,8,Road,44.2,7.3,4.34
3222.8,87.2,37,Air,87.3,7.0,8.05
3655.4,77.9,26,Rail,70.9,1.8,9.78
1616.8,26.4,29,Sea,85.7,8.8,11.98
758.8,60.9,28,Sea,88.4,2.3,9.83
418.4,64.7,7,Road,5.3,1.9,4.13
2591.3,39.1,36,Road,72.5,5.2,9.0
4401.6,77.8,15,Sea,22.7,9.8,18.59
3704.2,62.3,33,Road,98.9,3.1,11.77
1964.1,59.4,5,Sea,77.8,9.6,12.98
2417.1,20.3,29,Multimodal,0.4,4.4,8.93
1261.5,37.0,17,Rail,92.7,8.3,6.03
738.0,39.3,27,Sea,29.2,5.3,8.38
2172.0,66.2,17,Sea,41.7,2.1,11.56
2088.4,55.8,4,Sea,61.2,8.8,12.62
2351.1,8.2,12,Road,91.6,0.7,6.48
4287.9,28.0,23,Road,92.7,6.8,10.77
2719.5,42.8,11,Road,56.3,8.3,7.62
2727.9,66.4,36,Rail,31.7,8.3,7.93
580.5,67.0,12,Rail,27.9,6.6,5.2
4484.2,44.4,9,Sea,36.4,2.5,15.37
3478.9,11.0,24,Road,18.1,5.3,7.02
3948.0,26.7,18,Rail,67.0,6.3,7.48
1867.3,23.3,27,Road,52.8,8.9,6.43
2262.1,70.4,9,Sea,77.3,1.6,12.21
2351.8,16.6,33,Rail,9.4,4.6,5.24
877.5,42.1,6,Road,40.0,3.3,4.32
3104.3,60.5,33,Road,24.0,4.3,9.61
4063.9,86.8,6,Sea,53.5,1.8,16.4
740.9,89.9,4,Rail,46.8,2.2,5.83
393.0,85.8,3,Road,45.0,7.7,5.32
3323.3,64.8,13,Multimodal,31.6,4.8,12.19
1233.0,67.3,26,Sea,72.7,5.1,11.47
2809.3,68.4,34,Multimodal,48.2,9.0,13.79
3132.4,77.7,13,Road,20.2,2.4,9.18
1452.0,85.7,8,Rail,54.7,3.3,6.93
3669.1,40.4,12,Air,59.7,3.1,4.82
2477.2,37.8,8,Rail,2.1,6.6,4.99
3911.2,41.7,19,Sea,20.4,5.6,14.96
3436.0,59.6,10,Road,24.2,4.7,8.52
3909.2,69.9,32,Road,24.8,6.7,10.67
95.6,78.4,21,Road,23.9,4.8,5.05
1099.6,41.3,23,Road,27.2,8.2,5.2
409.6,33.0,27,Road,26.3,4.1,4.05
1992.2,88.5,25,Road,88.4,8.9,9.73
4005.4,21.3,7,Multimodal,32.0,1.2,10.37
2106.6,20.4,35,Road,35.0,0.9,6.49
3824.5,64.5,2,Rail,26.6,6.6,7.26
1475.7,16.6,28,Sea,96.8,3.9,10.27
1531.4,36.2,7,Rail,53.5,4.6,5.01
4030.5,26.7,12,Road,61.1,7.0,9.06
1919.0,15.6,17,Sea,73.5,2.1,9.92
3555.0,52.4,22,Rail,33.4,0.4,7.56
1068.7,33.9,9,Sea,96.9,4.4,9.39
4269.9,41.9,3,Sea,15.2,8.9,15.77
2587.7,18.0,22,Multimodal,45.8,4.5,9.62
3418.2,69.2,36,Rail,14.5,5.7,8.26
407.4,28.7,39,Road,79.0,2.1,5.72
2219.5,31.2,18,Rail,10.7,4.6,4.93
4055.2,23.1,17,Road,55.4,4.8,9.19
3947.3,39.4,27,Air,10.5,2.4,4.29
215.4,42.0,35,Road,45.3,1.6,4.85
1370.1,47.9,32,Road,28.0,3.5,6.5
1997.7,87.1,3,Sea,90.3,0.4,11.89
779.3,81.5,13,Rail,5.3,1.7,5.45
3286.3,55.0,17,Road,65.0,7.3,9.56
834.4,4.0,18,Rail,69.5,6.5,3.93
1563.1,55.3,17,Air,88.9,3.1,5.36
2986.4,8.5,16,Road,87.8,5.5,7.53
2172.0,64.1,22,Air,97.7,8.3,6.56
3324.9,35.4,25,Road,25.4,8.4,8.22
4325.6,75.5,1,Sea,27.5,6.5,16.91
528.9,84.9,27,Sea,39.7,1.2,8.98
3194.5,37.8,14,Road,53.8,1.6,8.33
1040.4,41.7,28,Road,36.7,2.9,5.71
1868.1,53.3,36,Road,74.0,6.7,8.55
152.7,18.1,32,Sea,0.9,2.6,5.29
615.9,83.5,29,Rail,1.8,4.6,5.94
1442.4,39.3,17,Rail,71.6,8.3,5.47
