origin_city,destination_city,distance_km,transport_mode,shipment_weight_kg,quantity,product_category,traffic_density_index,shipping_cost_inr
Kolkata,Visakhapatnam,2211.9,Road,4581.4,10,Heavy Machinery,4.7,409563.75
Kochi,Delhi,727.4,Road,3314.2,46,Pharmaceuticals,6.0,104874.18
Kolkata,Kochi,1318.5,Road,1960.5,47,Heavy Machinery,1.9,103720.1
Ahmedabad,Hyderabad,1556.8,Road,780.0,55,Automotive Components,4.3,50902.47
Delhi,Chennai,1966.4,Air,84.3,18,Pharmaceuticals,8.2,25305.5
Mumbai,Delhi,1441.7,Rail,3257.2,71,Automotive Components,9.8,117205.54
Visakhapatnam,Kolkata,1990.5,Road,2019.2,10,Heavy Machinery,5.4,155906.77
Ahmedabad,Hyderabad,2307.2,Road,444.4,92,Textiles,3.6,42805.55
Kochi,Ahmedabad,2039.6,Air,1429.4,59,Automotive Components,8.0,436695.15
Bengaluru,Delhi,943.7,Sea,2370.2,34,Textiles,8.7,35421.09
Bengaluru,Pune,2519.9,Road,3928.8,42,Textiles,6.7,415801.21
Kolkata,Mumbai,1609.0,Road,1608.2,98,Consumer Goods,5.3,104000.17
Kolkata,Bengaluru,1383.2,Road,3298.4,91,Pharmaceuticals,9.0,213992.61
Mumbai,Delhi,1673.9,Rail,263.7,42,Heavy Machinery,7.1,12572.34
Pune,Ahmedabad,1430.5,Sea,4813.8,67,Textiles,1.0,93862.95
Delhi,Kolkata,2151.0,Road,4859.8,7,Automotive Components,9.7,449053.13
Ahmedabad,Visakhapatnam,1264.8,Road,2665.2,15,Automotive Components,7.4,152922.2
Visakhapatnam,Kolkata,2208.3,Road,3304.9,35,Consumer Goods,5.3,308683.06
Delhi,Visakhapatnam,2164.4,Rail,3834.6,53,Consumer Goods,1.1,173863.85
Kolkata,Kochi,883.7,Air,4853.4,1,Heavy Machinery,1.4,514856.75
Ahmedabad,Pune,404.2,Sea,2745.9,14,Heavy Machinery,9.7,19898.28
Kolkata,Hyderabad,2405.0,Rail,3789.0,90,Automotive Components,8.2,229214.31
Kochi,Visakhapatnam,597.6,Sea,1002.2,22,Textiles,1.9,9554.99
Delhi,Kochi,232.6,Road,812.5,84,Automotive Components,7.7,9447.62
Chennai,Mumbai,1216.2,Road,3577.0,62,Textiles,2.6,171234.18
Visakhapatnam,Mumbai,823.5,Road,4623.5,36,Automotive Components,4.5,154634.91
Hyderabad,Ahmedabad,734.0,Road,2859.7,99,Heavy Machinery,5.6,90297.57
Chennai,Kolkata,606.6,Air,2695.8,16,Textiles,9.1,245227.41
Kochi,Bengaluru,2135.4,Air,2877.1,63,Heavy Machinery,1.5,799701.12
Hyderabad,Mumbai,2226.1,Road,4403.7,6,Heavy Machinery,2.2,398064.79
Ahmedabad,Kolkata,272.9,Rail,4010.2,22,Automotive Components,7.9,28638.24
Pune,Visakhapatnam,1599.1,Road,4018.3,7,Automotive Components,10.0,306808.09
Pune,Chennai,508.1,Rail,577.2,95,Consumer Goods,8.0,8970.8
Mumbai,Chennai,1473.8,Road,3810.7,17,Heavy Machinery,8.0,254460.53
Kochi,Hyderabad,1072.0,Road,3853.1,80,Consumer Goods,5.8,186107.89
Kolkata,Chennai,684.8,Sea,704.2,50,Pharmaceuticals,4.1,8535.66
Ahmedabad,Mumbai,2662.4,Air,2383.9,59,Heavy Machinery,2.3,816600.98
Ahmedabad,Bengaluru,2685.4,Road,534.5,42,Consumer Goods,2.6,59915.13
Bengaluru,Hyderabad,1644.5,Road,2015.3,40,Pharmaceuticals,5.0,137432.85
Ahmedabad,Kochi,648.3,Road,3223.0,14,Heavy Machinery,9.7,94660.41
Mumbai,Kochi,1695.7,Rail,1130.6,73,Heavy Machinery,6.5,48194.44
Chennai,Kolkata,2610.5,Road,704.3,80,Pharmaceuticals,8.8,79803.55
Kochi,Hyderabad,1151.1,Rail,3209.5,53,Automotive Components,3.2,83637.46
Mumbai,Chennai,515.0,Sea,4142.4,8,Pharmaceuticals,4.5,32197.35
Bengaluru,Ahmedabad,1988.3,Road,813.8,91,Textiles,7.6,73303.14
Delhi,Kolkata,1889.1,Road,4526.0,78,Heavy Machinery,1.6,337395.45
Kolkata,Kochi,153.7,Air,3698.3,59,Textiles,3.5,76000.86
Pune,Chennai,2412.1,Sea,3406.3,66,Pharmaceuticals,6.1,127399.54
Kolkata,Bengaluru,1901.0,Rail,648.8,88,Automotive Components,7.3,31218.04
Mumbai,Chennai,668.6,Road,4652.2,72,Textiles,4.9,129585.37
Mumbai,Visakhapatnam,158.6,Sea,2393.7,71,Consumer Goods,8.8,7791.87
Chennai,Delhi,2726.6,Road,2701.2,63,Consumer Goods,6.3,306508.18
Pune,Kolkata,2149.9,Road,2587.5,79,Heavy Machinery,6.9,241936.95
Ahmedabad,Pune,1117.4,Rail,2678.8,87,Heavy Machinery,3.4,66281.8
Bengaluru,Mumbai,1296.9,Air,4123.2,93,Automotive Components,4.0,701933.97
Kochi,Pune,1578.0,Air,539.1,91,Automotive Components,1.4,109839.46
Hyderabad,Chennai,2054.4,Rail,2444.8,59,Consumer Goods,1.7,111425.23
Visakhapatnam,Delhi,608.3,Air,3088.9,11,Automotive Components,9.7,288232.26
Ahmedabad,Bengaluru,668.7,Rail,632.9,73,Consumer Goods,6.0,11317.96
Hyderabad,Bengaluru,277.9,Road,2926.0,34,Textiles,2.1,35340.46
Visakhapatnam,Pune,2762.4,Road,2570.3,33,Consumer Goods,3.8,291575.99
Bengaluru,Delhi,2470.3,Road,1152.4,29,Automotive Components,6.7,123003.11
Ahmedabad,Kochi,1615.3,Sea,1324.0,78,Automotive Components,8.7,35245.42
Kochi,Hyderabad,1290.2,Road,476.7,95,Consumer Goods,1.6,26021.77
Kochi,Mumbai,779.2,Road,3541.8,52,Pharmaceuticals,5.1,115582.66
Mumbai,Kochi,1726.7,Rail,784.3,61,Pharmaceuticals,1.6,31219.06
Pune,Visakhapatnam,1979.9,Road,3955.3,39,Automotive Components,5.2,329347.27
Visakhapatnam,Pune,1976.3,Rail,4453.9,63,Consumer Goods,7.5,212868.54
Pune,Kochi,167.1,Road,1243.5,91,Pharmaceuticals,8.0,10438.69
Visakhapatnam,Bengaluru,2010.4,Rail,1338.6,82,Heavy Machinery,3.5,61247.66
Chennai,Delhi,2445.9,Air,659.4,75,Textiles,3.4,221540.34
Bengaluru,Mumbai,454.5,Sea,2727.3,35,Textiles,9.9,21377.41
Pune,Kolkata,2151.7,Road,4822.9,18,Consumer Goods,2.0,418857.27
Hyderabad,Delhi,2331.6,Rail,1256.5,71,Pharmaceuticals,6.8,71338.69
Mumbai,Visakhapatnam,881.8,Road,841.1,19,Consumer Goods,7.6,35346.98
Mumbai,Kolkata,2037.1,Road,3050.4,42,Automotive Components,8.0,275064.25
Kochi,Mumbai,406.4,Rail,4289.8,64,Automotive Components,7.0,42689.06
Visakhapatnam,Kolkata,1870.4,Rail,4357.7,92,Heavy Machinery,4.7,192591.51
Delhi,Pune,1502.4,Road,1759.9,7,Automotive Components,2.1,107509.22
Visakhapatnam,Ahmedabad,2402.1,Road,3944.7,2,Consumer Goods,6.1,406702.66
Hyderabad,Pune,1347.7,Road,2982.1,46,Textiles,6.3,183393.44
Delhi,Chennai,1284.5,Road,3677.9,32,Textiles,6.9,219448.61
Kochi,Ahmedabad,2624.5,Road,3400.5,22,Pharmaceuticals,9.3,410858.97
Mumbai,Delhi,2625.8,Sea,681.9,94,Automotive Components,5.0,27372.92
Mumbai,Kochi,244.6,Road,1819.6,78,Pharmaceuticals,9.6,21720.22
Hyderabad,Pune,1436.7,Road,3827.4,67,Automotive Components,2.9,222141.7
Kolkata,Hyderabad,576.5,Road,3811.6,73,Textiles,3.3,92851.53
Bengaluru,Chennai,875.3,Sea,654.3,52,Textiles,2.1,9095.64
Bengaluru,Hyderabad,1915.3,Rail,2337.3,15,Heavy Machinery,1.7,97500.02
Visakhapatnam,Delhi,492.6,Road,4351.5,70,Textiles,5.2,91278.69
Kolkata,Pune,179.9,Rail,3968.3,89,Automotive Components,6.7,18256.81
Visakhapatnam,Delhi,2076.9,Sea,2925.6,48,Textiles,4.5,83571.01
Chennai,Kolkata,1849.6,Road,1071.8,40,Textiles,6.0,79999.18
Pune,Visakhapatnam,2542.1,Rail,1656.5,60,Textiles,4.6,97327.53
Chennai,Visakhapatnam,1587.1,Road,3285.6,4,Consumer Goods,1.4,202126.32
Hyderabad,Kochi,2655.1,Air,3918.0,21,Pharmaceuticals,2.6,1381364.33
Chennai,Bengaluru,1764.7,Road,3087.5,67,Consumer Goods,3.4,213241.55
Mumbai,Kolkata,1175.9,Road,2007.1,60,Heavy Machinery,6.7,99122.36
Bengaluru,Chennai,1762.4,Rail,2904.3,67,Automotive Components,8.8,130568.11
Mumbai,Ahmedabad,2135.3,Rail,68.9,39,Consumer Goods,2.6,4764.15
Mumbai,Kochi,1071.0,Road,3691.3,94,Automotive Components,3.0,161047.67
Chennai,Pune,1137.2,Air,4227.6,67,Heavy Machinery,7.4,716421.26
Pune,Mumbai,1819.3,Road,278.1,26,Pharmaceuticals,9.6,23784.34
Delhi,Ahmedabad,1357.3,Air,2027.3,74,Automotive Components,4.2,379647.17
Pune,Delhi,1546.5,Sea,4251.3,69,Pharmaceuticals,3.9,92631.87
Visakhapatnam,Ahmedabad,2752.5,Air,3005.8,58,Heavy Machinery,4.3,1096229.54
Delhi,Chennai,266.0,Road,2442.8,14,Pharmaceuticals,2.5,27774.54
Chennai,Kochi,1866.9,Road,480.9,10,Heavy Machinery,5.4,39733.93
Hyderabad,Mumbai,2595.6,Road,3699.2,9,Textiles,5.9,419362.99
Pune,Kolkata,776.0,Road,3461.9,3,Heavy Machinery,2.4,108001.35
Hyderabad,Ahmedabad,711.9,Road,2969.2,75,Heavy Machinery,3.0,84629.54
Delhi,Chennai,1111.9,Road,349.2,67,Pharmaceuticals,2.8,16443.81
Visakhapatnam,Kolkata,346.3,Road,3231.6,48,Automotive Components,6.5,48245.33
Bengaluru,Delhi,1634.8,Road,305.8,38,Textiles,7.4,23050.71
Kochi,Visakhapatnam,1860.5,Air,4119.7,39,Consumer Goods,3.8,983195.81
Kochi,Kolkata,2322.7,Rail,4352.9,41,Consumer Goods,7.9,241003.64
Mumbai,Visakhapatnam,325.4,Road,2677.9,43,Automotive Components,9.2,41121.23
Visakhapatnam,Chennai,1305.9,Sea,4249.7,78,Automotive Components,5.7,78704.06
Kolkata,Visakhapatnam,2228.1,Rail,2033.9,67,Textiles,9.2,118096.38
Visakhapatnam,Bengaluru,2186.0,Road,1485.7,6,Heavy Machinery,6.6,144558.2
Chennai,Visakhapatnam,345.1,Road,2446.3,46,Automotive Components,2.8,35477.62
Kolkata,Mumbai,180.2,Air,2816.0,78,Textiles,3.3,72095.31
Pune,Delhi,2225.8,Rail,3844.0,16,Automotive Components,6.3,196729.52
Kolkata,Chennai,515.6,Road,3030.2,25,Heavy Machinery,3.0,63145.56
Chennai,Hyderabad,1681.1,Road,4286.5,44,Automotive Components,1.0,266832.59
Ahmedabad,Bengaluru,399.8,Sea,4682.3,27,Textiles,3.3,27031.39
Kolkata,Delhi,933.1,Road,2633.9,86,Heavy Machinery,1.5,96879.54
Mumbai,Ahmedabad,568.8,Road,3602.5,54,Heavy Machinery,9.1,93843.68
Kolkata,Mumbai,2101.4,Road,2433.5,56,Automotive Components,7.2,233920.54
Hyderabad,Mumbai,1932.7,Road,4535.0,75,Pharmaceuticals,1.3,341161.99
Visakhapatnam,Mumbai,508.6,Rail,201.1,43,Pharmaceuticals,1.4,3824.68
Kochi,Delhi,307.2,Road,3607.1,59,Pharmaceuticals,1.3,44199.04
Pune,Bengaluru,1385.8,Rail,2506.9,83,Automotive Components,8.2,87782.89
Ahmedabad,Kolkata,668.2,Air,352.6,83,Automotive Components,8.1,35419.16
Chennai,Visakhapatnam,171.6,Sea,3741.2,80,Automotive Components,7.6,11159.26
Ahmedabad,Chennai,850.3,Road,1994.5,94,Consumer Goods,2.4,71951.64
Hyderabad,Bengaluru,720.4,Road,2659.7,72,Consumer Goods,9.9,90694.51
Chennai,Mumbai,1965.1,Rail,3578.4,94,Textiles,8.6,175263.13
Kolkata,Delhi,2431.3,Road,1297.7,56,Textiles,6.8,143501.15
Kochi,Delhi,779.7,Air,1477.2,8,Heavy Machinery,7.1,164761.05
Pune,Mumbai,741.1,Air,1815.5,51,Textiles,4.5,186849.17
Delhi,Hyderabad,1177.6,Air,3750.7,29,Textiles,6.1,613850.38
Kochi,Mumbai,607.3,Rail,4910.0,14,Consumer Goods,4.1,68256.74
Kochi,Bengaluru,2659.1,Rail,1846.7,12,Pharmaceuticals,7.4,119011.97
Mumbai,Visakhapatnam,795.3,Rail,3073.4,13,Textiles,4.0,57947.15
Visakhapatnam,Bengaluru,397.3,Road,1654.0,12,Textiles,9.6,28902.6
Hyderabad,Chennai,1625.8,Sea,4390.1,78,Textiles,9.7,110401.12
Kochi,Pune,1574.7,Road,4680.8,10,Textiles,3.3,320781.22
Hyderabad,Bengaluru,1824.6,Sea,988.6,44,Consumer Goods,8.4,30543.73
Kochi,Pune,2711.8,Sea,3287.8,59,Pharmaceuticals,1.9,118164.18
Mumbai,Visakhapatnam,1007.2,Road,4534.4,8,Consumer Goods,3.3,183339.37
Bengaluru,Delhi,1102.9,Rail,2401.2,24,Consumer Goods,3.4,63663.4
Hyderabad,Mumbai,1043.2,Sea,1709.9,37,Pharmaceuticals,6.6,27608.52
Kolkata,Visakhapatnam,1815.9,Air,4533.0,43,Automotive Components,9.3,1255368.37
Ahmedabad,Kolkata,1750.8,Sea,1326.5,89,Textiles,3.7,34755.25
Kochi,Delhi,1551.3,Air,1075.1,8,Textiles,4.8,231243.55
Mumbai,Kochi,1115.5,Air,4408.7,64,Consumer Goods,4.5,664505.2
Bengaluru,Hyderabad,1283.3,Air,3186.4,77,Heavy Machinery,4.4,577533.69
Delhi,Visakhapatnam,2250.1,Road,966.0,67,Textiles,6.2,92246.96
Mumbai,Kochi,1764.5,Road,3232.2,73,Automotive Components,7.1,248891.11
Kolkata,Hyderabad,2048.2,Rail,4387.3,40,Consumer Goods,4.6,208980.1
Hyderabad,Kochi,883.3,Road,492.1,74,Pharmaceuticals,8.3,20979.63
Ahmedabad,Bengaluru,2565.5,Rail,1320.6,46,Automotive Components,6.3,83639.31
Kolkata,Bengaluru,243.2,Rail,3040.8,83,Heavy Machinery,3.4,18268.96
Chennai,Kolkata,1728.6,Sea,619.2,92,Heavy Machinery,4.3,16760.64
Bengaluru,Hyderabad,2302.7,Road,4532.0,18,Heavy Machinery,9.7,477119.5
Mumbai,Kolkata,2445.7,Rail,2985.1,82,Pharmaceuticals,6.4,171127.13
Ahmedabad,Kolkata,996.8,Air,2945.7,72,Automotive Components,5.5,409098.82
Kolkata,Bengaluru,1368.3,Road,326.7,8,Heavy Machinery,3.2,19243.2
Kolkata,Pune,242.5,Rail,2135.5,59,Heavy Machinery,5.8,13030.63
Delhi,Kochi,2242.9,Sea,1014.9,36,Consumer Goods,1.7,33061.77
Hyderabad,Ahmedabad,480.1,Road,4052.2,96,Pharmaceuticals,4.6,82381.12
Ahmedabad,Bengaluru,1284.4,Road,1713.8,21,Heavy Machinery,8.8,99714.18
Pune,Kochi,2775.6,Rail,2045.0,3,Pharmaceuticals,4.9,135572.98
Hyderabad,Kolkata,2582.0,Road,3221.3,88,Heavy Machinery,8.6,360189.7
Ahmedabad,Bengaluru,1024.6,Road,3601.2,16,Textiles,1.4,146659.81
Kochi,Kolkata,743.3,Air,3960.4,83,Textiles,2.2,400169.1
Mumbai,Visakhapatnam,817.0,Road,915.6,55,Automotive Components,7.6,36178.08
Ahmedabad,Hyderabad,1964.7,Air,1349.6,22,Automotive Components,7.7,378871.55
Bengaluru,Kochi,2073.4,Road,507.3,22,Pharmaceuticals,6.8,46907.1
Ahmedabad,Visakhapatnam,723.7,Road,4289.4,77,Pharmaceuticals,9.3,142250.53
Kolkata,Ahmedabad,786.0,Rail,1611.4,12,Consumer Goods,5.8,30358.56
Mumbai,Kolkata,1007.0,Road,674.4,60,Pharmaceuticals,7.5,31843.52
Pune,Hyderabad,1297.9,Road,1591.2,92,Automotive Components,3.4,86429.92
Kolkata,Ahmedabad,2581.3,Sea,332.9,72,Consumer Goods,6.5,14380.54
Chennai,Kochi,220.2,Sea,4191.1,9,Heavy Machinery,8.0,16047.9
Visakhapatnam,Delhi,1841.2,Road,1470.8,84,Automotive Components,7.3,117328.94
Chennai,Visakhapatnam,2433.5,Road,1782.9,79,Heavy Machinery,8.3,190720.45
Hyderabad,Chennai,2066.9,Rail,4704.7,68,Automotive Components,4.6,237693.24
Delhi,Chennai,724.4,Rail,987.2,24,Textiles,3.5,17269.75
Ahmedabad,Pune,1413.4,Road,1059.7,48,Textiles,3.5,62499.85
Delhi,Pune,2562.2,Rail,2824.3,45,Consumer Goods,8.2,183986.95
Pune,Bengaluru,456.7,Road,4862.8,6,Pharmaceuticals,8.7,103525.64
Hyderabad,Ahmedabad,2766.9,Road,4510.8,64,Consumer Goods,2.9,519090.68
Chennai,Kochi,530.6,Road,2984.8,87,Pharmaceuticals,4.3,67280.42
Chennai,Hyderabad,527.4,Road,4070.5,15,Consumer Goods,9.3,98121.56
Visakhapatnam,Hyderabad,2304.1,Road,2463.7,30,Heavy Machinery,1.1,217854.17
Hyderabad,Kolkata,2345.1,Sea,2201.4,84,Consumer Goods,4.1,74067.68
Visakhapatnam,Ahmedabad,250.5,Road,2032.3,27,Pharmaceuticals,6.5,24103.07
Kochi,Pune,596.0,Rail,2299.9,27,Heavy Machinery,2.3,31827.29
Ahmedabad,Pune,2663.6,Rail,3549.3,98,Heavy Machinery,7.2,225847.61
Kochi,Delhi,890.3,Sea,4116.3,97,Consumer Goods,3.6,53189.07
Kolkata,Kochi,182.4,Road,2901.2,58,Automotive Components,9.5,25085.62
Chennai,Kolkata,823.2,Air,4351.3,10,Textiles,1.7,466812.93
Kolkata,Delhi,2098.9,Road,3211.6,73,Textiles,8.8,294567.29
Kolkata,Pune,2578.6,Rail,4023.5,72,Consumer Goods,6.4,249607.12
Mumbai,Visakhapatnam,561.2,Rail,3463.6,78,Automotive Components,6.6,48255.43
Pune,Visakhapatnam,744.7,Rail,3880.2,1,Heavy Machinery,1.1,65034.81
Visakhapatnam,Chennai,1320.1,Sea,144.3,74,Heavy Machinery,9.2,4808.57
Ahmedabad,Chennai,2133.0,Road,4342.7,4,Pharmaceuticals,8.6,413241.07
Delhi,Kochi,1895.5,Rail,4435.4,59,Pharmaceuticals,5.0,197446.92
Ahmedabad,Mumbai,1018.0,Rail,4214.5,82,Automotive Components,5.4,100356.73
Chennai,Kochi,325.8,Road,3664.3,94,Consumer Goods,3.6,50120.04
Kochi,Ahmedabad,820.3,Road,3948.2,41,Consumer Goods,4.0,134073.62
Hyderabad,Chennai,731.8,Road,947.1,90,Pharmaceuticals,5.3,30652.71
Delhi,Mumbai,205.8,Rail,285.7,43,Textiles,1.7,2919.16
Hyderabad,Delhi,2733.9,Road,1484.2,14,Automotive Components,1.7,164706.84
Bengaluru,Hyderabad,826.7,Sea,2240.1,29,Consumer Goods,8.3,28901.75
Kochi,Visakhapatnam,2366.8,Road,1390.4,73,Heavy Machinery,4.4,136739.9
Visakhapatnam,Hyderabad,1434.9,Rail,4359.8,37,Heavy Machinery,9.8,163192.8
Pune,Mumbai,2726.6,Road,4823.8,22,Consumer Goods,1.8,504147.08
Delhi,Ahmedabad,546.3,Road,3865.4,88,Automotive Components,9.4,94817.87
Pune,Bengaluru,443.3,Road,2409.2,99,Textiles,6.9,49309.96
Ahmedabad,Hyderabad,156.5,Sea,771.5,36,Textiles,3.8,3395.44
Chennai,Bengaluru,2053.9,Rail,4366.6,95,Consumer Goods,3.4,204204.07
Delhi,Pune,961.9,Road,4217.9,58,Automotive Components,9.6,180668.22
Mumbai,Visakhapatnam,2456.4,Sea,853.4,15,Textiles,4.1,30705.09
Ahmedabad,Mumbai,1829.6,Road,291.1,61,Consumer Goods,5.7,23058.84
Delhi,Chennai,1680.2,Road,4499.9,7,Pharmaceuticals,9.6,353953.77
Pune,Ahmedabad,1440.3,Sea,4118.6,99,Pharmaceuticals,2.9,84405.84
Mumbai,Hyderabad,834.2,Road,4674.5,91,Textiles,2.6,159051.28
Bengaluru,Ahmedabad,321.4,Road,1821.5,42,Automotive Components,2.9,24541.16
Bengaluru,Hyderabad,1325.5,Rail,3306.8,98,Textiles,3.1,98085.04
Visakhapatnam,Ahmedabad,412.7,Air,4327.8,25,Automotive Components,7.3,261280.01
Ahmedabad,Kolkata,2550.2,Road,1740.1,64,Textiles,2.6,175770.42
Ahmedabad,Pune,2347.7,Road,2398.9,44,Heavy Machinery,1.4,231615.69
Kochi,Mumbai,1792.4,Air,2681.8,6,Pharmaceuticals,7.5,675465.55
Mumbai,Pune,1349.0,Rail,194.9,4,Pharmaceuticals,9.7,8378.89
Mumbai,Kolkata,1353.6,Road,4150.5,66,Automotive Components,5.9,242595.92
Kochi,Delhi,1381.0,Road,4721.8,14,Textiles,4.3,264959.4
Pune,Kochi,2125.5,Rail,2114.8,4,Pharmaceuticals,1.3,101654.7
Chennai,Kolkata,484.4,Road,3075.2,35,Consumer Goods,6.1,64725.65
Delhi,Visakhapatnam,1557.9,Rail,2731.0,77,Textiles,4.0,99793.88
Delhi,Bengaluru,2303.6,Rail,1772.1,93,Automotive Components,6.8,100875.39
Pune,Kolkata,1501.8,Rail,458.0,34,Automotive Components,9.6,18150.53
Hyderabad,Bengaluru,186.4,Road,2624.7,26,Consumer Goods,1.2,20794.07
Chennai,Bengaluru,798.4,Road,1258.3,56,Heavy Machinery,7.2,43592.03
Kolkata,Kochi,1921.7,Air,3279.1,90,Pharmaceuticals,7.1,909215.54
Visakhapatnam,Bengaluru,2625.6,Road,2709.3,68,Heavy Machinery,6.3,306497.3
Hyderabad,Mumbai,2518.4,Road,2973.1,78,Automotive Components,7.5,317258.17
Hyderabad,Ahmedabad,2330.2,Air,3028.6,75,Automotive Components,4.4,938188.26
Mumbai,Chennai,2667.9,Road,4434.1,3,Textiles,2.1,499030.83
Pune,Delhi,891.8,Sea,779.7,87,Automotive Components,1.0,10871.55
Pune,Kolkata,182.9,Sea,4038.0,8,Pharmaceuticals,4.6,12552.26
Bengaluru,Delhi,1089.1,Rail,4775.9,44,Pharmaceuticals,8.2,127447.18
Chennai,Hyderabad,1679.1,Rail,3620.5,90,Automotive Components,6.3,144689.17
Kochi,Kolkata,988.6,Road,738.3,78,Heavy Machinery,2.3,30028.87
Kolkata,Ahmedabad,267.1,Sea,4258.7,5,Textiles,3.9,17548.22
Ahmedabad,Bengaluru,1494.0,Sea,3969.4,58,Automotive Components,7.0,86594.34
Pune,Hyderabad,679.2,Road,4320.6,86,Textiles,9.3,136672.27
Mumbai,Delhi,2078.1,Rail,2457.4,78,Consumer Goods,8.7,129463.9
Mumbai,Delhi,386.4,Air,4110.2,12,Consumer Goods,6.7,225564.56
Kolkata,Visakhapatnam,2689.0,Air,812.4,67,Consumer Goods,3.0,288897.85
Hyderabad,Visakhapatnam,2473.2,Air,2904.5,94,Consumer Goods,8.8,1055848.53
Bengaluru,Visakhapatnam,2465.7,Rail,2781.1,20,Consumer Goods,9.3,171837.44
Hyderabad,Delhi,2243.2,Road,4488.8,3,Heavy Machinery,9.2,465012.24
Pune,Bengaluru,1829.0,Road,4321.4,33,Heavy Machinery,6.1,355028.67
Delhi,Kolkata,291.6,Rail,3594.4,77,Heavy Machinery,8.8,27224.22
Visakhapatnam,Chennai,1905.4,Road,915.5,18,Automotive Components,8.1,81911.55
Bengaluru,Visakhapatnam,2129.4,Sea,4043.4,75,Consumer Goods,6.6,127746.61
Hyderabad,Visakhapatnam,496.7,Sea,3090.5,26,Textiles,9.8,24502.45
Kochi,Visakhapatnam,1781.8,Sea,4092.1,7,Consumer Goods,3.2,104398.35
Chennai,Bengaluru,1419.0,Road,4694.9,90,Automotive Components,6.6,282963.14
Ahmedabad,Hyderabad,1402.0,Rail,2277.9,3,Automotive Components,1.2,70752.43
Pune,Kochi,678.6,Road,3735.3,1,Automotive Components,5.1,101446.19
Kolkata,Hyderabad,2109.5,Road,4866.1,17,Heavy Machinery,8.5,456928.35
Visakhapatnam,Chennai,2601.6,Sea,1107.6,12,Textiles,3.1,43339.67
Chennai,Hyderabad,2237.7,Sea,4242.6,73,Consumer Goods,7.8,140812.19
Kochi,Delhi,1127.9,Road,752.6,81,Automotive Components,7.9,39288.71
Hyderabad,Chennai,2758.1,Air,134.8,82,Consumer Goods,6.7,55070.3
Kochi,Pune,1115.1,Road,4242.8,23,Consumer Goods,9.0,212190.44
Kolkata,Delhi,771.2,Rail,4801.4,91,Heavy Machinery,5.0,89026.03
Chennai,Pune,2715.4,Sea,209.4,2,Consumer Goods,2.9,9527.69
Hyderabad,Bengaluru,2243.0,Rail,4229.9,27,Pharmaceuticals,6.9,223349.04
Kochi,Kolkata,2167.3,Road,3512.0,55,Textiles,9.5,334740.12
Delhi,Kochi,355.2,Road,3514.0,15,Pharmaceuticals,6.7,54203.46
Hyderabad,Ahmedabad,658.9,Road,2325.1,44,Heavy Machinery,8.9,68423.36
Bengaluru,Hyderabad,199.1,Road,2114.6,69,Consumer Goods,8.8,20720.81
Ahmedabad,Visakhapatnam,2208.1,Road,1896.4,95,Textiles,1.1,168798.55
Mumbai,Bengaluru,887.3,Rail,1940.1,49,Textiles,1.7,39208.29
Kolkata,Visakhapatnam,500.4,Sea,4688.9,63,Consumer Goods,6.0,35926.46
Kolkata,Delhi,632.0,Road,4088.1,35,Automotive Components,8.7,122921.75
Bengaluru,Kolkata,1849.0,Sea,1602.9,19,Consumer Goods,4.5,41186.1
Pune,Delhi,1297.6,Rail,3715.8,53,Pharmaceuticals,9.0,120791.29
Hyderabad,Chennai,2644.7,Rail,3299.6,92,Textiles,4.2,205842.57
Kochi,Delhi,1119.6,Road,4237.6,2,Consumer Goods,4.8,198692.42
Chennai,Bengaluru,2359.8,Road,505.0,52,Pharmaceuticals,3.9,50514.64
Kolkata,Delhi,1598.1,Sea,3515.7,20,Automotive Components,5.0,80502.53
Chennai,Mumbai,2019.2,Road,1262.4,59,Automotive Components,5.1,111193.71
Kolkata,Pune,597.0,Road,1245.9,3,Automotive Components,5.3,32521.2
Mumbai,Hyderabad,2134.8,Air,3543.4,8,Automotive Components,3.6,1043080.0
Visakhapatnam,Bengaluru,377.0,Air,4480.0,40,Heavy Machinery,4.5,241337.03
Chennai,Pune,1981.5,Road,2604.4,30,Heavy Machinery,6.4,220790.36
Bengaluru,Hyderabad,1383.6,Rail,2354.4,12,Heavy Machinery,1.1,70074.47
Pune,Hyderabad,755.6,Rail,4084.8,49,Automotive Components,5.9,72464.04
Ahmedabad,Pune,1423.0,Rail,176.0,17,Automotive Components,1.2,7047.92
Hyderabad,Pune,2417.5,Road,3550.0,66,Textiles,6.5,375849.74
Pune,Kochi,560.0,Rail,327.8,23,Consumer Goods,4.4,5874.85
Kochi,Chennai,599.5,Rail,1259.9,39,Consumer Goods,5.2,18968.65
Visakhapatnam,Delhi,1565.1,Road,3352.0,27,Heavy Machinery,8.3,238138.97
Mumbai,Pune,1806.9,Sea,1932.0,57,Consumer Goods,7.1,55165.52
Mumbai,Visakhapatnam,1263.5,Road,1511.4,19,Heavy Machinery,9.4,82350.67
Chennai,Kolkata,855.9,Rail,2546.3,44,Consumer Goods,3.2,52818.11
Hyderabad,Chennai,328.1,Sea,4256.8,66,Textiles,4.6,20729.71
Visakhapatnam,Delhi,282.0,Air,2158.7,32,Automotive Components,3.0,83419.52
Bengaluru,Hyderabad,258.2,Rail,2687.8,33,Pharmaceuticals,2.6,17334.83
Delhi,Pune,2538.4,Rail,832.0,43,Textiles,7.0,52535.73
